ISSUE_DATE,ID,PURPOSE,VERIFICATION_STATUS,GRADE,HOME_OWNERSHIP,ADDRESS_STATE,LOAN_STATUS,EMP_LENGTH,EMP_TITLE,LAST_CREDIT_PULL_DATE,LAST_PAYMENT_DATE,NEXT_PAYMENT_DATE,MEMBER_ID,SUB_GRADE,TERM,ANNUAL_INCOME,DTI,INSTALLMENT,INT_RATE,LOAN_AMOUNT,TOTAL_ACC,TOTAL_PAYMENT
08-01-2021,211860,credit card,Not Verified,A,OWN,NY,Fully Paid,< 1 year,,12-11-2021,11-01-2021,11-02-2021,211817,A5, 36 months,75000,0.0606,236.34,0.0838,7500,9,8508
08-01-2021,197558,credit card,Not Verified,A,RENT,OH,Fully Paid,10+ years,Automatic Data Processing Inc.,11-01-2021,11-01-2021,11-02-2021,164764,A4, 36 months,40000,0.1668,83.92,0.0807,2675,25,3021
08-01-2021,244261,credit card,Not Verified,A,RENT,TX,Fully Paid,< 1 year,Estancia Churrascaria,11-02-2021,11-02-2021,11-03-2021,183323,A3, 36 months,19000,0.0632,90.88,0.08,2900,12,3272
08-01-2021,238612,credit card,Not Verified,A,RENT,NY,Fully Paid,< 1 year,Rochester Institute of Technology,10-06-2021,10-06-2021,10-07-2021,238594,A4, 36 months,30000,0.0368,62.74,0.0807,2000,2,2240
08-01-2021,215897,credit card,Not Verified,B,RENT,NJ,Fully Paid,2 years,Morgelt Corporation,10-02-2021,10-03-2021,10-04-2021,215882,B1, 36 months,165000,0.0033,318.93,0.092,10000,10,11325
08-01-2021,210884,credit card,Not Verified,C,RENT,NY,Fully Paid,3 years,The College of Saint Rose,16-04-2021,11-01-2021,11-02-2021,210855,C1, 36 months,36500,0.0776,228.45,0.1078,7000,5,8224
08-01-2021,213551,credit card,Not Verified,C,RENT,MD,Fully Paid,3 years,Intelligent Decisions Inc.,11-01-2021,11-01-2021,11-02-2021,213530,C3, 36 months,72000,0.1465,247,0.1141,7500,10,8892
08-01-2021,217788,credit card,Not Verified,C,RENT,WA,Fully Paid,3 years,Washington State Employment Security,13-02-2021,11-01-2021,11-02-2021,215783,C4, 36 months,62000,0.2009,307.66,0.1172,9300,29,11075
08-01-2021,229565,credit card,Not Verified,C,RENT,RI,Fully Paid,7 years,AFLAC,15-06-2021,11-02-2021,11-03-2021,229463,C1, 36 months,69500,0.1651,228.45,0.1078,7000,12,8224
08-01-2021,201909,credit card,Not Verified,D,RENT,CT,Fully Paid,3 years,Cyber resource group inc,15-11-2021,11-01-2021,11-02-2021,201801,D1, 36 months,133000,0.1342,667.74,0.1236,20000,10,24038
08-01-2021,200912,credit card,Not Verified,D,MORTGAGE,NY,Fully Paid,9 years,Modern Woodmen of America,11-03-2021,11-03-2021,11-04-2021,200892,D4, 36 months,50000,0.1704,318.09,0.133,9400,41,11495
08-01-2021,200600,credit card,Not Verified,B,RENT,CA,Fully Paid,7 years,UCLA Medical Center,16-05-2021,11-01-2021,11-02-2021,200597,B3, 36 months,96000,0.0269,241.41,0.0983,7500,11,8691
08-01-2021,209349,Debt consolidation,Not Verified,A,MORTGAGE,MA,Charged Off,10+ years,state street bank,16-04-2021,10-10-2021,10-11-2021,197016,A4, 36 months,61200,0.17,225.86,0.0807,7200,8,7309
08-01-2021,223345,Debt consolidation,Not Verified,B,MORTGAGE,FL,Charged Off,< 1 year,,16-05-2021,09-04-2021,09-05-2021,223287,B4, 36 months,75000,0.1654,452.67,0.1014,14000,21,6789
08-01-2021,219315,Debt consolidation,Not Verified,D,MORTGAGE,MD,Charged Off,< 1 year,,16-05-2021,08-10-2021,08-11-2021,219312,D4, 36 months,45000,0.0467,406.07,0.133,12000,30,3248
08-01-2021,218282,Debt consolidation,Not Verified,D,MORTGAGE,MI,Charged Off,1 year,Dana Corp,16-05-2021,08-12-2021,08-01-2022,216136,D3, 36 months,52500,0.1794,370.59,0.1299,11000,20,3705
08-01-2021,224381,Debt consolidation,Not Verified,F,MORTGAGE,CA,Charged Off,6 years,Newport-Mesa Unified School District,10-11-2021,10-07-2021,10-08-2021,223623,F3, 36 months,113000,0.2484,880.78,0.1615,25000,33,32241
08-01-2021,212894,Debt consolidation,Not Verified,A,OWN,NC,Charged Off,4 years,NC State University WebAssign,09-12-2021,09-05-2021,09-06-2021,212055,A3, 36 months,36000,0.0273,101.47,0.0775,3250,7,1709
08-01-2021,231005,Debt consolidation,Not Verified,C,RENT,MN,Charged Off,10+ years,Darden Restaurants Inc.,16-05-2021,08-05-2021,08-06-2021,230928,C1, 36 months,110000,0.1858,278.22,0.1078,8525,21,8587
08-01-2021,228923,Debt consolidation,Not Verified,C,RENT,CA,Charged Off,10+ years,loving Pet service,09-11-2021,09-05-2021,09-06-2021,228859,C2, 36 months,32000,0.048,491.73,0.1109,15000,25,7797
08-01-2021,219425,Debt consolidation,Not Verified,C,RENT,NY,Charged Off,1 year,CEC Entertainment,16-04-2021,10-02-2021,10-03-2021,219409,C4, 36 months,62000,0.1929,82.71,0.1172,2500,37,2042
08-01-2021,209581,Debt consolidation,Not Verified,D,RENT,DC,Charged Off,3 years,Rewards Network,09-01-2021,08-07-2021,08-08-2021,209415,D2, 36 months,91200,0.1013,536.57,0.1267,16000,19,3837
08-01-2021,213732,Debt consolidation,Not Verified,D,RENT,CA,Charged Off,1 year,California Pizza Kitchen,09-10-2021,08-09-2021,08-10-2021,209340,D3, 36 months,48000,0.1898,673.79,0.1299,20000,17,6119
08-01-2021,200256,Debt consolidation,Not Verified,D,RENT,CO,Charged Off,2 years,MoneyGram International,11-04-2021,10-11-2021,10-12-2021,200251,D4, 36 months,27000,0.0716,406.07,0.133,12000,11,13842
08-01-2021,214388,Debt consolidation,Not Verified,E,RENT,CA,Charged Off,10+ years,United Parcel Service,16-05-2021,09-04-2021,09-05-2021,199014,E4, 36 months,76000,0.0711,692.14,0.1488,20000,16,9689
08-01-2021,202270,Debt consolidation,Not Verified,D,RENT,CT,Charged Off,1 year,Modern Marketing Concepts,16-04-2021,08-08-2021,08-09-2021,202156,D1, 36 months,50000,0.0866,133.55,0.1236,4000,24,1085
08-01-2021,244029,Debt consolidation,Not Verified,A,MORTGAGE,LA,Fully Paid,2 years,Retif,10-02-2021,08-11-2021,08-12-2021,244014,A1, 36 months,35000,0.0765,24.84,0.0737,800,15,813
08-01-2021,227568,Debt consolidation,Not Verified,A,MORTGAGE,TX,Fully Paid,< 1 year,,10-01-2021,09-01-2021,09-02-2021,226102,A5, 36 months,65000,0.0726,403.36,0.0838,12800,12,13660
08-01-2021,219967,Debt consolidation,Not Verified,A,MORTGAGE,NC,Fully Paid,< 1 year,,16-05-2021,11-02-2021,11-03-2021,219919,A5, 36 months,40500,0.125,189.08,0.0838,6000,11,6806
08-01-2021,241850,Debt consolidation,Not Verified,A,MORTGAGE,TX,Fully Paid,2 years,IBC Bank,16-05-2021,11-02-2021,11-03-2021,241260,A5, 36 months,17544,0.0937,47.45,0.0863,1500,6,1708
08-01-2021,234585,Debt consolidation,Not Verified,B,MORTGAGE,MA,Fully Paid,5 years,Applied Marketing Science Inc,10-02-2021,09-11-2021,09-12-2021,231493,B3, 36 months,78000,0.1574,386.25,0.0983,12000,26,13498
08-01-2021,222488,Debt consolidation,Not Verified,B,MORTGAGE,IA,Fully Paid,6 years,Alter Barge Line,10-03-2021,10-03-2021,10-04-2021,222393,B2, 36 months,31000,0.1649,592.7,0.0951,18500,32,20966
08-01-2021,203554,Debt consolidation,Not Verified,B,MORTGAGE,FL,Fully Paid,8 years,Camp Dresser  and  McKee,15-07-2021,11-01-2021,11-02-2021,202908,B4, 36 months,88296,0.1373,485,0.1014,15000,48,17460
08-01-2021,235094,Debt consolidation,Not Verified,B,MORTGAGE,MD,Fully Paid,10+ years,Maryland Motor Vehicle,11-07-2021,11-08-2021,11-09-2021,235091,B1, 36 months,55000,0.1228,478.4,0.092,15000,45,17317
08-01-2021,202379,Debt consolidation,Not Verified,B,MORTGAGE,FL,Fully Paid,1 year,Bay Area A?C,11-01-2021,11-01-2021,11-02-2021,202352,B4, 36 months,40000,0.1701,421.14,0.1014,13025,21,15161
08-01-2021,192616,Debt consolidation,Not Verified,B,MORTGAGE,TX,Fully Paid,10+ years,GGR,15-02-2021,10-07-2021,10-08-2021,189776,B5, 36 months,100000,0.0817,386.99,0.0996,12000,26,13865
08-01-2021,234451,Debt consolidation,Not Verified,B,MORTGAGE,TX,Fully Paid,1 year,Citigroup Inc.,16-05-2021,11-01-2021,11-02-2021,234130,B2, 36 months,69000,0.1129,608.72,0.0951,19000,21,21864
08-01-2021,229930,Debt consolidation,Not Verified,C,MORTGAGE,TX,Fully Paid,2 years,Central Baptist Church of Pasadena,16-05-2021,10-05-2021,10-06-2021,229806,C2, 36 months,90000,0.1711,819.54,0.1109,25000,27,29185
08-01-2021,224541,Debt consolidation,Not Verified,C,MORTGAGE,TX,Fully Paid,1 year,Trillion Partners,14-01-2021,08-07-2021,08-08-2021,224356,C3, 36 months,57860,0.1014,658.67,0.1141,20000,23,21073
08-01-2021,219178,Debt consolidation,Not Verified,C,MORTGAGE,CO,Fully Paid,1 year,Self,11-02-2021,11-03-2021,11-04-2021,219169,C4, 36 months,60000,0,165.41,0.1172,5000,8,5956
08-01-2021,229276,Debt consolidation,Not Verified,C,MORTGAGE,MN,Fully Paid,10+ years,vsi construction,16-03-2021,11-02-2021,11-03-2021,206288,C4, 36 months,66000,0.0242,496.22,0.1172,15000,12,17864
08-01-2021,221264,Debt consolidation,Not Verified,C,MORTGAGE,MI,Fully Paid,7 years,pace mechanica services,12-10-2021,12-10-2021,12-11-2021,221224,C5, 36 months,100000,0.1582,498.51,0.1204,15000,45,17877
08-01-2021,232947,Debt consolidation,Not Verified,D,MORTGAGE,MA,Fully Paid,10+ years,M g H,11-01-2021,11-01-2021,11-02-2021,225341,D5, 36 months,30000,0.1952,381.58,0.1362,11225,25,13732
08-01-2021,225054,Debt consolidation,Not Verified,D,MORTGAGE,AZ,Fully Paid,6 years,Town of Marana,14-09-2021,11-02-2021,11-03-2021,224975,D1, 36 months,85000,0.218,300.48,0.1236,9000,28,10817
08-01-2021,228424,Debt consolidation,Not Verified,D,MORTGAGE,FL,Fully Paid,2 years,Wachovia Corp.,11-08-2021,11-09-2021,11-10-2021,228006,D4, 36 months,50000,0.2042,676.78,0.133,20000,29,24507
08-01-2021,216083,Debt consolidation,Not Verified,E,MORTGAGE,NM,Fully Paid,10+ years,"TMC Distribution, Inc.",08-10-2021,08-10-2021,08-11-2021,216070,E5, 36 months,75000,0.2184,730.04,0.152,21000,25,23176
08-01-2021,231321,Debt consolidation,Not Verified,A,NONE,VA,Fully Paid,5 years,ups,11-01-2021,11-02-2021,11-03-2021,214993,A3, 36 months,22200,0.0524,312.22,0.0775,10000,22,11240
08-01-2021,233978,Debt consolidation,Not Verified,A,OWN,AR,Fully Paid,< 1 year,Retired Police Officer,16-05-2021,11-02-2021,11-03-2021,233903,A5, 36 months,31000,0.1061,78.78,0.0838,2500,15,2836
08-01-2021,195655,Debt consolidation,Not Verified,B,OWN,TX,Fully Paid,10+ years,Self Employed,12-06-2021,11-01-2021,11-02-2021,193651,B3, 36 months,102000,0.1695,575.17,0.0933,18000,63,20706
08-01-2021,213020,Debt consolidation,Not Verified,A,RENT,NV,Fully Paid,8 years,InSync Show Productions,14-02-2021,10-05-2021,10-06-2021,212984,A3, 36 months,49896,0.1037,218.55,0.0775,7000,29,7818
08-01-2021,193630,Debt consolidation,Not Verified,A,RENT,LA,Fully Paid,4 years,Chelsea's Cafe,09-11-2021,09-12-2021,09-01-2022,192688,A4, 36 months,21600,0.1033,125.48,0.0807,4000,11,4443
08-01-2021,202720,Debt consolidation,Not Verified,A,RENT,CO,Fully Paid,< 1 year,Cap Logistics,09-02-2021,09-02-2021,09-03-2021,181632,A4, 36 months,24600,0.0995,313.69,0.0807,10000,16,10742
08-01-2021,210784,Debt consolidation,Not Verified,B,RENT,CA,Fully Paid,1 year,P2 Entertainment,15-03-2021,11-01-2021,11-02-2021,210596,B1, 36 months,77250,0.0593,318.93,0.092,10000,20,11455
08-01-2021,214968,Debt consolidation,Not Verified,B,RENT,CA,Fully Paid,1 year,Michael's Restaurant,16-04-2021,11-01-2021,11-02-2021,204307,B3, 36 months,21600,0.0483,289.69,0.0983,9000,9,10429
08-01-2021,196148,Debt consolidation,Not Verified,B,RENT,CA,Fully Paid,10+ years,Orange County's Credit Union,10-10-2021,10-10-2021,10-11-2021,196134,B2, 36 months,71000,0.0688,477.07,0.0901,15000,36,17164
08-01-2021,213427,Debt consolidation,Not Verified,B,RENT,AZ,Fully Paid,2 years,"Sites USA, Inc",10-06-2021,10-02-2021,10-03-2021,213418,B4, 36 months,30000,0.1976,38.8,0.1014,1200,11,1376
08-01-2021,192311,Debt consolidation,Not Verified,B,RENT,MD,Fully Paid,< 1 year,Loudon County Schools,09-06-2021,09-04-2021,09-05-2021,187731,B4, 36 months,24960,0.0817,320.99,0.0964,10000,10,10995
08-01-2021,194565,Debt consolidation,Not Verified,B,RENT,CA,Fully Paid,2 years,Roth Staffing,11-11-2021,10-12-2021,10-01-2022,194314,B3, 36 months,68640,0.0747,383.45,0.0933,12000,22,13801
08-01-2021,198285,Debt consolidation,Not Verified,B,RENT,OR,Fully Paid,3 years,Colwell Chiropractic,10-11-2021,10-11-2021,10-12-2021,197938,B5, 36 months,26000,0.0614,253.16,0.0996,7850,17,9167
08-01-2021,217041,Debt consolidation,Not Verified,B,RENT,FL,Fully Paid,< 1 year,IC Mechanical,14-08-2021,09-10-2021,09-11-2021,215591,B2, 36 months,55000,0.0759,320.38,0.0951,10000,20,11242
08-01-2021,223626,Debt consolidation,Not Verified,B,RENT,CA,Fully Paid,1 year,QUEST SOFTWARE,12-09-2021,11-02-2021,11-03-2021,223476,B5, 36 months,115500,0.162,649.68,0.1046,20000,28,23388
08-01-2021,196574,Debt consolidation,Not Verified,B,RENT,CO,Fully Paid,1 year,Exclusive Resorts,10-06-2021,10-06-2021,10-07-2021,188413,B5, 36 months,58000,0.2193,306.36,0.0996,9500,26,10959
08-01-2021,225897,Debt consolidation,Not Verified,B,RENT,CO,Fully Paid,< 1 year,Connecting Point,10-07-2021,10-08-2021,10-09-2021,225868,B4, 36 months,36000,0.0707,129.34,0.1014,4000,5,4626
08-01-2021,196027,Debt consolidation,Not Verified,B,RENT,WA,Fully Paid,10+ years,Self,10-12-2021,10-12-2021,10-01-2022,196018,B2, 36 months,10000,0.0672,95.42,0.0901,3000,7,3433
08-01-2021,212737,Debt consolidation,Not Verified,C,RENT,NY,Fully Paid,1 year,"Our Lady of Lourdes Memorial Hospital, Inc.",11-03-2021,11-03-2021,11-04-2021,212440,C5, 36 months,44684.66,0.1606,265.87,0.1204,8000,17,9592
08-01-2021,214363,Debt consolidation,Not Verified,C,RENT,CA,Fully Paid,1 year,Baxter Healthcare,11-01-2021,11-02-2021,11-03-2021,190375,C5, 36 months,47000,0.1795,498.51,0.1204,15000,17,17971
08-01-2021,232726,Debt consolidation,Not Verified,C,RENT,NY,Fully Paid,2 years,retired,13-03-2021,10-09-2021,10-10-2021,232722,C3, 36 months,40000,0.1593,329.34,0.1141,10000,25,11810
08-01-2021,196863,Debt consolidation,Not Verified,C,RENT,CA,Fully Paid,6 years,US ARMY,11-04-2021,10-11-2021,10-12-2021,194670,C5, 36 months,22000,0.2471,143.53,0.1154,4350,10,5159
08-01-2021,218680,Debt consolidation,Not Verified,C,RENT,NY,Fully Paid,< 1 year,The AYCO Company LP.,10-11-2021,10-12-2021,10-01-2022,218656,C1, 36 months,37200,0.1258,440.57,0.1078,13500,11,15837
08-01-2021,202712,Debt consolidation,Not Verified,C,RENT,WI,Fully Paid,< 1 year,Wheaton Franciscan Healthcare,11-01-2021,11-01-2021,11-02-2021,202709,C1, 36 months,60000,0.1426,365.51,0.1078,11200,33,13158
08-01-2021,207387,Debt consolidation,Not Verified,C,RENT,CA,Fully Paid,< 1 year,BH Direct Response,11-02-2021,11-01-2021,11-02-2021,207374,C2, 36 months,41500,0.1932,327.82,0.1109,10000,6,11852
08-01-2021,224984,Debt consolidation,Not Verified,C,RENT,TX,Fully Paid,2 years,Apple Inc.,14-10-2021,10-10-2021,10-11-2021,224951,C2, 36 months,46000,0.1137,157.36,0.1109,4800,7,5650
08-01-2021,224210,Debt consolidation,Not Verified,C,RENT,VA,Fully Paid,3 years,Remax,14-02-2021,10-12-2021,10-01-2022,218822,C5, 36 months,100000,0.1432,498.51,0.1204,15000,24,17913
08-01-2021,216940,Debt consolidation,Not Verified,C,RENT,IL,Fully Paid,< 1 year,Sears Holdings,16-05-2021,11-01-2021,11-02-2021,216937,C5, 36 months,45000,0.2133,372.22,0.1204,11200,36,13400
08-01-2021,197360,Debt consolidation,Not Verified,C,RENT,TX,Fully Paid,6 years,Konica Minolta Business Solutions USA Inc,16-04-2021,11-01-2021,11-02-2021,197348,C4, 36 months,49500,0,197.06,0.1122,6000,8,7094
08-01-2021,217118,Debt consolidation,Not Verified,C,RENT,OH,Fully Paid,< 1 year,willard  and  kelsey llc,11-01-2021,11-01-2021,11-02-2021,216587,C4, 36 months,36000,0.119,413.51,0.1172,12500,9,14886
08-01-2021,215531,Debt consolidation,Not Verified,D,RENT,DC,Fully Paid,6 years,GW University,15-03-2021,10-12-2021,10-01-2022,215518,D2, 36 months,48000,0.131,117.38,0.1267,3500,22,4193
08-01-2021,218325,Debt consolidation,Not Verified,D,RENT,CT,Fully Paid,2 years,Lake of Isles,08-08-2021,08-08-2021,08-09-2021,216568,D3, 36 months,43000,0.1482,539.03,0.1299,16000,22,17128
08-01-2021,204428,Debt consolidation,Not Verified,D,RENT,AZ,Fully Paid,6 years,SRP,11-07-2021,11-01-2021,11-02-2021,204314,D1, 36 months,39996,0.0948,133.55,0.1236,4000,16,4808
08-01-2021,199889,Debt consolidation,Not Verified,D,RENT,TX,Fully Paid,2 years,Crowne Plaza,14-07-2021,10-08-2021,10-09-2021,199865,D4, 36 months,18000,0.22,67.68,0.133,2000,16,2391
08-01-2021,191730,Debt consolidation,Not Verified,E,RENT,CA,Fully Paid,2 years,Groovemasters,14-07-2021,11-01-2021,11-02-2021,187320,E4, 36 months,42500,0.157,687.25,0.1438,20000,22,24741
08-01-2021,216540,Debt consolidation,Not Verified,E,RENT,CA,Fully Paid,< 1 year,Fairfield Residential LLC,13-12-2021,11-01-2021,11-02-2021,213030,E2, 36 months,48000,0.1905,514.49,0.1425,15000,21,18522
08-01-2021,194762,Debt consolidation,Not Verified,E,RENT,MO,Fully Paid,8 years,United States Air Force,09-07-2021,09-07-2021,09-08-2021,194653,E1, 36 months,36000,0.174,523.78,0.1343,15450,9,17924
08-01-2021,236199,Debt consolidation,Not Verified,E,RENT,MD,Fully Paid,< 1 year,World Kitchen,08-10-2021,08-10-2021,08-11-2021,216572,E2, 36 months,48000,0.021,685.99,0.1425,20000,7,21940
08-01-2021,223015,Debt consolidation,Not Verified,F,RENT,CA,Fully Paid,< 1 year,San Francisco Zoo,16-05-2021,11-02-2021,11-03-2021,222752,F2, 36 months,75000,0.1538,841.76,0.1583,24000,16,30303
08-01-2021,227538,Debt consolidation,Not Verified,B,RENT,CT,Fully Paid,10+ years,Abbott Terrace Health Center,11-01-2021,11-02-2021,11-03-2021,227380,B1, 36 months,40000,0.1014,382.72,0.092,12000,10,13778
08-01-2021,208594,Debt consolidation,Not Verified,C,RENT,CA,Fully Paid,2 years,XYPRO Technology,16-04-2021,10-02-2021,10-03-2021,208564,C3, 36 months,78504,0.1403,329.34,0.1141,10000,29,11658
08-01-2021,222829,Debt consolidation,Not Verified,B,RENT,CA,Fully Paid,10+ years,County of San Diego,16-02-2021,11-02-2021,11-03-2021,222675,B2, 36 months,88068,0.0996,461.35,0.0951,14400,32,16608
08-01-2021,231935,educational,Not Verified,A,RENT,NM,Fully Paid,1 year,Environmental Monitoring & Testing,10-06-2021,10-07-2021,10-08-2021,231531,A4, 36 months,20000,0.0888,376.43,0.0807,12000,5,13462
08-01-2021,200886,educational,Not Verified,A,RENT,WI,Fully Paid,1 year,West Allis Animal Hospital,11-01-2021,11-01-2021,11-02-2021,200841,A5, 36 months,12000,0,293.85,0.0838,9325,7,10579
08-01-2021,208191,home improvement,Not Verified,C,MORTGAGE,GA,Charged Off,10+ years,Hayes chrysler,16-05-2021,09-05-2021,09-06-2021,202271,C1, 36 months,61200,0.1406,313.3,0.1078,9600,21,5012
08-01-2021,190846,home improvement,Not Verified,E,RENT,FL,Charged Off,5 years,"Treasure Coast Pool Service,LLC",16-05-2021,08-10-2021,08-11-2021,190819,E2, 36 months,75000,0.1978,851.41,0.1375,25000,12,7662
08-01-2021,199575,home improvement,Not Verified,A,MORTGAGE,LA,Fully Paid,10+ years,"Pala-Interstate,LLC.",07-12-2021,08-05-2021,08-06-2021,199555,A2, 36 months,62500,0.0582,124.3,0.0743,4000,31,4095
08-01-2021,237549,home improvement,Not Verified,A,MORTGAGE,VT,Fully Paid,10+ years,VHV,09-08-2021,09-09-2021,09-10-2021,237477,A3, 36 months,65000,0.0925,124.89,0.0775,4000,17,4377
08-01-2021,232488,home improvement,Not Verified,B,MORTGAGE,FL,Fully Paid,10+ years,Motorola Inc.,11-01-2021,11-02-2021,11-03-2021,232450,B5, 36 months,186063,0.0188,812.09,0.1046,25000,22,29235
08-01-2021,232568,home improvement,Not Verified,C,MORTGAGE,VA,Fully Paid,10+ years,Physician Billing & Collection,16-05-2021,11-02-2021,11-03-2021,232542,C1, 36 months,50000,0.155,130.54,0.1078,4000,37,4699
08-01-2021,225812,home improvement,Not Verified,C,MORTGAGE,AL,Fully Paid,9 years,OB/Gyn Associates,10-07-2021,10-08-2021,10-09-2021,225734,C3, 36 months,375000,0.0063,658.67,0.1141,20000,27,23208
08-01-2021,196521,home improvement,Not Verified,B,RENT,MD,Fully Paid,2 years,Digidoc Inc,09-06-2021,09-06-2021,09-07-2021,194436,B5, 36 months,73992,0.1328,644.97,0.0996,20000,9,21710
08-01-2021,218331,major purchase,Not Verified,A,RENT,FL,Charged Off,6 years,SweetBay Supermarkets,10-07-2021,10-03-2021,10-04-2021,218047,A3, 36 months,24000,0,312.22,0.0775,10000,4,7985
08-01-2021,216508,major purchase,Not Verified,A,MORTGAGE,CA,Fully Paid,10+ years,sutter coast hospital,11-01-2021,11-01-2021,11-02-2021,200052,A4, 36 months,60000,0.0958,250.95,0.0807,8000,48,9034
08-01-2021,201285,major purchase,Not Verified,B,MORTGAGE,WI,Fully Paid,5 years,Tricom Funding,13-11-2021,11-01-2021,11-02-2021,197188,B1, 36 months,24000,0.1865,63.79,0.092,2000,21,2296
